BW,Tahoe,Reno,NewReno,Vegas,Tahoe,Reno,NewReno,Vegas,Tahoe,Reno,NewReno,Vegas
1,5.105,5.105,5.105,4.923,32.62,32.62,32.62,32.53,0,0,0,0
2,5.095,5.095,5.095,4.906,32.67,32.67,32.67,32.57,0,0,0,0
3,5.094,5.094,5.094,4.896,32.67,32.67,32.67,32.67,0,0,0,0
4,5.095,5.095,5.095,4.898,32.67,32.67,32.67,32.67,0,0,0,0
5,5.065,5.065,5.065,4.874,32.8,32.8,32.8,32.8,0,0,0,0
6,4.992,4.992,4.992,4.896,33.33,33.33,33.33,32.67,0,0,0,0
7,5.015,5.015,5.015,4.824,33.14,33.14,33.14,33.14,0,0,0,0
8,5.032,5.032,5.032,4.838,33,33,33,33,0,0,0,0
9,5.059,5.059,5.059,4.864,32.89,32.89,32.89,32.89,0,0,0,0
10,2.641,2.641,2.641,0.71,63,63,63,67.49,0.44,0.44,0.44,0
