BW,Tahoe,Reno,NewReno,Vegas,Tahoe,Reno,NewReno,Vegas,Tahoe,Reno,NewReno,Vegas
1,5.100,5.100,5.100,4.920,32.63,32.63,32.63,32.53,0.00,0.00,0.00,0.00
2,5.095,5.095,5.095,4.909,32.67,32.67,32.67,32.57,0.00,0.00,0.00,0.00
3,5.084,5.084,5.084,4.898,32.74,32.74,32.74,32.67,0.00,0.00,0.00,0.00
4,5.075,5.075,5.075,4.898,32.79,32.79,32.79,32.67,0.00,0.00,0.00,0.00
5,5.000,5.000,5.000,4.878,33.28,33.28,33.28,32.80,0.00,0.00,0.00,0.00
6,3.531,3.641,3.641,4.101,37.63,37.37,37.37,39.02,0.24,0.64,0.64,0.00
7,2.867,2.142,2.869,3.000,37.55,36.95,37.03,34.67,0.00,1.15,1.32,0.00
8,1.869,1.742,2.137,2.000,37.54,37.49,37.66,36.00,2.26,1.22,1.84,0.00
9,0.943,0.681,1.078,1.078,40.58,48.24,41.36,41.86,5.03,4.63,4.85,4.40
10,0.000,0.000,0.000,0.000,,,,,,,,
